Black Body Radiation Experiment Wed, Jan 21, 2026 9:40 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01033	0.00507
0.01033	0.00206
0.01033	0.00005
0.01033	-0.00112
0.01033	-0.00162
0.01033	-0.00160
0.01033	-0.00123
0.01033	-0.00130
0.01033	-0.00050
0.01033	0.00019
0.01033	0.00071
0.01033	0.00055
0.01033	0.00114
0.01033	0.00187
0.01033	0.00251
0.01033	0.00304
0.01033	0.00331
0.01033	0.00407
0.01033	0.00436
0.01033	0.00434
0.01033	0.00445
0.01033	0.00487
0.01033	0.00516
0.01033	0.00478
0.01033	0.00509
0.01033	0.00479
0.01033	0.00428
0.01033	0.00387
0.01033	0.00349
0.01033	0.00274
0.01033	0.00216
0.01033	0.00224
0.01033	0.00288
0.01033	0.00377
0.01033	0.00420
0.01033	0.00481
0.01033	0.00524
0.01033	0.00481
0.01033	0.00482
0.01033	0.00472
0.01033	0.00482
0.01033	0.00425
0.01033	0.00439
0.01033	0.00510
0.01033	0.00560
0.01033	0.00557
0.01033	0.00591
0.01033	0.00653
0.01033	0.00644
0.01033	0.00720
0.01033	0.00809
0.01033	0.00871
0.01033	0.00893
0.01033	0.00857
0.01033	0.00877
0.01033	0.00862
0.01033	0.00852
0.01033	0.00784
0.01033	0.00775
0.01033	0.00670
0.01033	0.00581
-0.01033	0.00691
-0.03100	0.00666
-0.03100	0.00615
-0.04133	0.00463
-0.05167	0.00446
-0.05167	0.00460
-0.05167	0.00459
-0.04133	0.00532
-0.02067	0.00510
0.01033	0.00554
0.01033	0.00495
0.02067	0.00535
0.02067	0.00684
0.02067	0.00693
0.03100	0.00714
0.02067	0.00632
0.02067	0.00645
0.02067	0.00587
0.01033	0.00607
-0.01033	0.00568
-0.02067	0.00580
-0.04133	0.00563
-0.05167	0.00574
-0.06200	0.00627
-0.06200	0.00742
-0.04133	0.00867
-0.03100	0.00947
0.01033	0.00833
0.01033	0.00733
0.04133	0.00741
0.06200	0.00748
0.06200	0.00640
0.07233	0.00618
0.07233	0.00575
0.08266	0.00578
0.09300	0.00582
0.11366	0.00703
0.12400	0.00761
0.13433	0.00745
0.13433	0.00657
0.13433	0.00644
0.13433	0.00746
0.13433	0.00770
0.13433	0.00687
0.13433	0.00560
0.13433	0.00570
0.13433	0.00535
0.14466	0.00501
0.15500	0.00479
0.16533	0.00465
0.16533	0.00463
0.19633	0.00482
0.21699	0.00494
0.25833	0.00564
0.27899	0.00620
0.36166	0.00563
0.42365	0.00469
0.45465	0.00566
0.53732	0.00525
0.59931	0.00515
0.63031	0.00481
0.71298	0.00558
0.77498	0.00601
0.81631	0.00600
0.91964	0.00638
1.00230	0.00650
1.05397	0.00626
1.17796	0.00495
1.28129	0.00463
1.33296	0.00460
1.51895	0.00465
1.66361	0.00484
1.73595	0.00397
1.98394	0.00505
2.14927	0.00545
2.23193	0.00519
2.38693	0.00538
2.46959	0.00506
2.50059	0.00511
2.56259	0.00507
2.59359	0.00554
2.60392	0.00651
2.62459	0.00755
2.63492	0.00734
2.63492	0.00687
2.66592	0.00701
2.70725	0.00697
2.78991	0.00630
2.87258	0.00579
2.91391	0.00587
3.05857	0.00577
3.16190	0.00518
3.21357	0.00508
3.38923	0.00589
3.48223	0.00540
3.52356	0.00532
3.65789	0.00548
3.71988	0.00500
3.76122	0.00596
3.83355	0.00491
3.86455	0.00446
3.88521	0.00495
3.94721	0.00521
3.99888	0.00505
4.02987	0.00546
4.10221	0.00532
4.16420	0.00497
4.18487	0.00615
4.27787	0.00617
4.37086	0.00617
4.40186	0.00705
4.52586	0.00629
4.61886	0.00622
4.66019	0.00759
4.76352	0.00741
4.84618	0.00691
4.87718	0.00694
4.98051	0.00655
5.04251	0.00645
5.07351	0.00626
5.15617	0.00526
5.21817	0.00536
5.24917	0.00471
5.34217	0.00456
5.41450	0.00460
5.45583	0.00575
5.57983	0.00474
5.67282	0.00503
5.72449	0.00605
5.86915	0.00633
5.99315	0.00657
6.03448	0.00645
6.17914	0.00598
6.28247	0.00586
6.32380	0.00513
6.46847	0.00557
6.55113	0.00606
6.59246	0.00661
6.68546	0.00650
6.74746	0.00684
6.76812	0.00771
6.85079	0.00794
6.91279	0.00760
6.95412	0.00686
7.08845	0.00608
7.18144	0.00561
7.23311	0.00468
7.42944	0.00438
7.54310	0.00461
7.61543	0.00426
7.82209	0.00405
7.95642	0.00463
8.03908	0.00549
8.22508	0.00594
8.34907	0.00600
8.41107	0.00713
8.57640	0.00833
8.67973	0.00831
8.73140	0.00880
8.88639	0.00957
8.97939	0.00928
9.03105	0.00946
9.17571	0.00937
9.26871	0.00895
9.32038	0.00818
9.46504	0.00696
9.55804	0.00627
9.60970	0.00580
9.74403	0.00518
9.83703	0.00432
9.89903	0.00507
10.00236	0.00585
10.08502	0.00598
10.11602	0.00751
10.19868	0.00792
10.26068	0.00734
10.28135	0.00824
10.35368	0.00743
10.39501	0.00700
10.40534	0.00741
10.44668	0.00678
10.47767	0.00677
10.48801	0.00782
10.52934	0.00733
10.56034	0.00739
10.57067	0.00864
10.62234	0.00843
10.66367	0.00746
10.68433	0.00820
10.75667	0.00737
10.81866	0.00757
10.84966	0.00867
10.95299	0.00764
11.03566	0.00784
11.07699	0.00845
11.20099	0.00755
11.28365	0.00794
11.32498	0.00947
11.42831	0.00852
11.51098	0.00784
11.55231	0.00804
11.66597	0.00765
11.75897	0.00820
11.80030	0.00891
11.94496	0.00905
12.06896	0.00924
12.13096	0.00986
12.31695	0.00901
12.46161	0.00967
12.52361	0.00974
12.75094	0.00876
12.89560	0.00850
12.96793	0.00749
13.17459	0.00669
13.31925	0.00656
13.38125	0.00639
13.59824	0.00656
13.74291	0.00666
13.80490	0.00741
13.98057	0.00788
14.08390	0.00909
14.12523	0.00804
14.25956	0.00822
14.33189	0.00823
14.37322	0.00794
14.46622	0.00786
14.51788	0.00741
14.53855	0.00672
14.60055	0.00711
14.65221	0.00787
14.67288	0.00893
14.73488	0.00980
14.78654	0.01041
14.80721	0.01010
14.90020	0.01090
14.96220	0.01105
14.99320	0.01149
15.09653	0.01085
15.17920	0.01045
15.22053	0.01006
15.34452	0.01057
15.44785	0.01143
15.49952	0.01171
15.66485	0.01295
15.78884	0.01329
15.87151	0.01366
16.16083	0.01433
16.31583	0.01495
16.45016	0.01536
16.64648	0.01655
16.77048	0.01836
16.85314	0.02020
16.98747	0.02243
17.02880	0.02522
17.08047	0.02766
17.20447	0.03036
17.26646	0.03250
17.32846	0.03625
17.44212	0.03935
17.52479	0.04336
17.60745	0.04777
17.75212	0.05291
17.82445	0.05940
17.88644	0.06621
18.06211	0.07357
18.16544	0.08210
18.22743	0.09233
18.45476	0.10349
18.79942	0.11680
19.18036    0.12997
19.44902    0.14245
19.57302    0.15467
19.69701    0.16136
19.94499    0.16534
20.10359    0.16723
20.22400    0.16386
20.47199    0.15857
20.57532    0.15139
20.61665    0.14295
20.74065    0.13533
20.81298    0.12856
20.84398    0.12121
20.91631    0.11585
20.97831    0.10967
21.00930    0.10430
21.05868	0.07782
21.11034	0.07192
21.25501	0.06755
21.35834	0.06226
21.38934	0.05678
21.50300	0.05213
21.57533	0.04725
21.60633	0.04339
21.73032	0.03957
21.82332	0.03683
21.86465	0.03280
21.99898	0.03006
22.09198	0.02736
22.14365	0.02573
22.27797	0.02424
22.39164	0.02280
22.43297	0.02213
22.56730	0.02060
22.66030	0.01906
22.70163	0.01838
22.82562	0.01769
22.92895	0.01687
22.95995	0.01535
23.08395	0.01472
23.19761	0.01343
23.24928	0.01314
23.43527	0.01232
23.57993	0.01212
23.63160	0.01281
23.83826	0.01191
23.99325	0.01169
24.05525	0.01196
24.24125	0.01247
24.36524	0.01273
24.40658	0.01167
24.55124	0.01064
24.66490	0.01011
24.71657	0.01010
24.88189	0.01009
25.01622	0.01034
25.07822	0.01027
25.28488	0.00967
25.42954	0.00942
25.48121	0.01027
25.68787	0.01035
25.81186	0.01038
25.86353	0.00908
26.07019	0.00919
26.19419	0.01019
26.24585	0.01116
26.40085	0.01224
26.48351	0.01284
26.52484	0.01205
26.61784	0.01202
26.65917	0.01210
26.66950	0.01267
26.72117	0.01201
26.75217	0.01144
26.76250	0.00974
26.80383	0.00916
26.83483	0.00951
26.84517	0.01023
26.87617	0.01106
26.89683	0.01141
26.91750	0.01062
26.94850	0.01060
26.96916	0.01119
26.97950	0.01121
27.02083	0.01182
27.06216	0.01161
27.08283	0.01092
27.14482	0.01054
27.20682	0.01122
27.22749	0.01196
27.29982	0.01259
27.34115	0.01242
27.35148	0.01210
27.38248	0.01135
27.41348	0.01168
27.42381	0.01172
27.46515	0.01182
27.50648	0.01108
27.53748	0.01122
27.59948	0.01111
27.67181	0.01161
27.70281	0.01196
27.81647	0.01214
27.88880	0.01235
27.91980	0.01281
28.03346	0.01307
28.10579	0.01308
28.14713	0.01317
28.25046	0.01292
28.35379	0.01297
28.38478	0.01296
28.51911	0.01224
28.62244	0.01237
28.66378	0.01211
28.80844	0.01316
28.90144	0.01342
28.95310	0.01404
29.10810	0.01397
29.24242	0.01320
29.30442	0.01340
29.48008	0.01350
29.59375	0.01335
29.63508	0.01298
29.74874	0.01332
29.81074	0.01344
29.84174	0.01382
29.90374	0.01411
29.93474	0.01393
29.94507	0.01330
29.98640	0.01249
30.02773	0.01257
30.04840	0.01209
30.16206	0.01222
30.27573	0.01202
30.33772	0.01230
30.56505	0.01303
30.73038	0.01250
30.81304	0.01273
31.07137	0.01208
31.22636	0.01179
31.28836	0.01093
31.47436	0.01075
31.57769	0.01040
31.61902	0.01002
31.73268	0.01063
31.78435	0.01080
31.81534	0.01118
31.91868	0.01180
32.00134	0.01152
32.04267	0.01209
32.17700	0.01214
32.30100	0.01147
32.36299	0.01137
32.52832	0.01076
32.66265	0.00996
32.71432	0.01037
32.87965	0.01020
32.98298	0.01031
33.02431	0.00984
33.14830	0.01024
33.22063	0.01087
33.25163	0.01149
33.34463	0.01165
33.40663	0.01153
33.43763	0.01113
33.52029	0.01014
33.57196	0.00979
33.59262	0.01015
33.67529	0.00952
33.75795	0.00980
33.78895	0.00951
33.91295	0.01064
33.98528	0.01050
34.02661	0.01035
34.16094	0.01028
34.25394	0.01091
34.30560	0.01074
34.47093	0.01112
34.57426	0.01115
34.62592	0.01132
34.79125	0.01120
34.88425	0.01068
34.92558	0.01102
35.03924	0.01137
35.09091	0.01068
35.11158	0.01133
35.19424	0.01199
35.25624	0.01268
35.29757	0.01315
35.40090	0.01382
35.48356	0.01369
35.52490	0.01377
35.67989	0.01398
35.79355	0.01343
35.85555	0.01380
36.06221	0.01376
36.20688	0.01344
36.28954	0.01355
36.53753	0.01303
36.69253	0.01238
36.77519	0.01283
36.97152	0.01287
37.11618	0.01270
37.17818	0.01260
37.37451	0.01310
37.45717	0.01409
37.51917	0.01390
37.68450	0.01421
37.78783	0.01400
37.83949	0.01437
38.03582	0.01417
38.15981	0.01381
38.23215	0.01418
38.43881	0.01350
38.56280	0.01398
38.63513	0.01354
38.79013	0.01354
38.87279	0.01379
38.90379	0.01320
38.96579	0.01325
39.00712	0.01298
39.01745	0.01335
39.06912	0.01316
39.13112	0.01354
39.16212	0.01389
39.26545	0.01368
39.35844	0.01387
39.41011	0.01376
39.56510	0.01327
39.68910	0.01356
39.76143	0.01449
39.89576	0.01463
39.98876	0.01477
40.00942	0.01469
40.09209	0.01515
40.16442	0.01496
40.18508	0.01346
40.27808	0.01321
40.35041	0.01240
40.37108	0.01215
40.45374	0.01121
40.53641	0.01230
40.56741	0.01389
40.69140	0.01457
40.79473	0.01604
40.84640	0.01607
41.01173	0.01631
41.14606	0.01578
41.19772	0.01486
41.36305	0.01562
41.47671	0.01487
41.51804	0.01465
41.67304	0.01391
41.78670	0.01396
41.81770	0.01420
41.93136	0.01445
42.01403	0.01449
42.04503	0.01338
42.13802	0.01371
42.18969	0.01342
42.21036	0.01284
42.26202	0.01411
42.29302	0.01388
42.30335	0.01500
42.36535	0.01468
42.40668	0.01551
42.43768	0.01584
42.53068	0.01698
42.61334	0.01676
42.65467	0.01611
42.79934	0.01610
42.92333	0.01500
42.96467	0.01475
43.18166	0.01449
43.34699	0.01383
43.41932	0.01433
43.63631	0.01362
43.79131	0.01374
43.84297	0.01332
44.02897	0.01400
44.14263	0.01358
44.19429	0.01369
44.31829	0.01317
44.41129	0.01399
44.44229	0.01468
44.56628	0.01437
44.64895	0.01533
44.67995	0.01489
44.81427	0.01468
44.90727	0.01408
44.94860	0.01355
45.09327	0.01315
45.20693	0.01255
45.24826	0.01294
45.40326	0.01188
45.52725	0.01223
45.56858	0.01164
45.74425	0.01221
45.86824	0.01215
45.91991	0.01274
46.08523	0.01377
46.18857	0.01422
46.22990	0.01451
46.35389	0.01491
46.43656	0.01511
46.46756	0.01557
46.58122	0.01510
46.66388	0.01463
46.70522	0.01440
46.84988	0.01488
46.96354	0.01424
47.01521	0.01407
47.19087	0.01473
47.32520	0.01459
47.38719	0.01450
47.58352	0.01483
47.73852	0.01481
47.80051	0.01524
48.03817	0.01525
48.20350	0.01578
48.26550	0.01594
48.48249	0.01602
48.62716	0.01564
48.68915	0.01547
48.88548	0.01624
