Black Body Radiation Experiment Wed, Jan 21, 2026 9:42 AM
Sensor Position (Degrees)	Light Intensity (Volts)
-0.03100	-0.00580
-0.03100	-0.00317
-0.03100	-0.00127
-0.04133	0.00001
-0.05167	0.00082
-0.05167	0.00127
0.02067	0.00148
0.16533	0.00183
0.56832	0.00221
1.29163	0.00261
2.24226	0.00282
2.70725	0.00332
2.93458	0.00351
3.62689	0.00381
4.17454	0.00471
4.44320	0.00449
5.48683	0.00475
5.98281	0.00496
6.21014	0.00480
7.30544	0.00529
7.82209	0.00547
8.02875	0.00524
8.67973	0.00456
9.02072	0.00457
9.18605	0.00489
9.65103	0.00431
9.93002	0.00456
10.08502	0.00483
10.41568	0.00536
10.66367	0.00629
10.75667	0.00600
11.16999	0.00606
11.56264	0.00558
11.74864	0.00508
12.74060	0.00462
13.23659	0.00465
13.42258	0.00444
14.24922	0.00406
14.86920	0.00472
15.07586	0.00552
15.79918	0.00600
16.21250	0.00628
16.36749	0.00657
16.72915	0.00400
17.03914	0.00321
17.17347	0.00937
17.83478	0.02502
18.24810	0.04912
18.72342	0.07716
19.78772	0.10728
20.37670	0.13418
20.92435	0.15471
21.88532	0.16693
22.29864	0.16904
22.68096	0.16013
23.25961	0.14083
23.65227	0.11874
23.81759	0.09838
24.38591	0.08296
24.74756	0.07069
24.90256	0.06086
25.36755	0.05363
25.66720	0.04710
25.79120	0.04076
26.14252	0.03658
26.28718	0.03271
26.34918	0.02911
26.52484	0.02671
26.60751	0.02455
26.63851	0.02224
26.73150	0.02057
26.78317	0.01896
26.80383	0.01665
26.88650	0.01539
26.93816	0.01373
26.96916	0.01207
27.04149	0.01190
27.10349	0.01017
27.14482	0.00974
27.27915	0.00863
27.38248	0.00837
27.44448	0.00880
27.59948	0.00878
27.71314	0.00870
27.76480	0.00736
27.94047	0.00775
28.06446	0.00723
28.12646	0.00750
28.30212	0.00733
28.43645	0.00633
28.48811	0.00662
28.66378	0.00589
28.77744	0.00594
28.83944	0.00637
29.00477	0.00607
29.11843	0.00571
29.18043	0.00556
29.42842	0.00634
29.59375	0.00601
29.68674	0.00612
29.94507	0.00614
30.16206	0.00593
30.27573	0.00553
30.62705	0.00520
30.87504	0.00491
31.01970	0.00438
31.35036	0.00377
31.59835	0.00391
31.71201	0.00523
32.06334	0.00561
32.27000	0.00567
32.39399	0.00530
32.75565	0.00498
32.98298	0.00502
33.09664	0.00553
33.44796	0.00616
33.70629	0.00579
33.84062	0.00595
34.22294	0.00592
34.48126	0.00600
34.61559	0.00642
34.99791	0.00578
35.24591	0.00562
35.36990	0.00399
35.75222	0.00348
35.97955	0.00422
36.12421	0.00441
36.47553	0.00421
36.70286	0.00447
36.83719	0.00526
37.21951	0.00552
37.44684	0.00585
37.59150	0.00626
37.95315	0.00648
38.19081	0.00730
38.33548	0.00673
38.69713	0.00635
38.93479	0.00588
39.06912	0.00570
39.46177	0.00520
39.70977	0.00545
39.85443	0.00549
40.15409	0.00536
40.40208	0.00526
40.53641	0.00622
40.96006	0.00663
41.24939	0.00710
41.40438	0.00778
41.80737	0.00793
42.10703	0.00811
42.22069	0.00877
42.63401	0.00810
42.92333	0.00760
43.04733	0.00723
43.45032	0.00639
43.68798	0.00596
43.79131	0.00611
44.14263	0.00508
44.38029	0.00488
44.46295	0.00570
44.82461	0.00489
45.07260	0.00477
45.18626	0.00551
45.54792	0.00499
45.80624	0.00464
45.91991	0.00447
46.34356	0.00402
46.60189	0.00341
46.71555	0.00376
47.12887	0.00335
47.38719	0.00394
47.53186	0.00479
47.95551	0.00438
48.18284	0.00529
48.30683	0.00607
48.72015	0.00565
48.96815	0.00550
49.10247	0.00454
49.49513	0.00358
49.77412	0.00304
49.90845	0.00218
50.29077	0.00209
50.54910	0.00280
50.66276	0.00259
51.07608	0.00348
51.33441	0.00384
51.45840	0.00327
51.82006	0.00312
52.07838	0.00296
52.20238	0.00230
52.56403	0.00191
52.82236	0.00156
52.93602	0.00143
53.30801	0.00262
53.54567	0.00278
53.65933	0.00284
53.93832	0.00390
54.14498	0.00348
54.23798	0.00239
54.48597	0.00299
54.68230	0.00288
54.76497	0.00261
55.02329	0.00240
55.20928	0.00267
55.31261	0.00377
55.61227	0.00379
55.82927	0.00412
55.94293	0.00344
56.27359	0.00360
56.49058	0.00359
56.60424	0.00324
56.93490	0.00327
57.14156	0.00318
57.22422	0.00336
57.48255	0.00367
57.67887	0.00431
57.77187	0.00511
58.06120	0.00456
58.23686	0.00456
58.32985	0.00449
58.61918	0.00483
58.80517	0.00449
58.87750	0.00415
59.11516	0.00339
59.29082	0.00322
59.37349	0.00333
59.61115	0.00281
59.75581	0.00268
59.83847	0.00298
60.05547	0.00313
60.17946	0.00377
60.25179	0.00525
60.47912	0.00547
60.61345	0.00573
60.69611	0.00518
60.92344	0.00550
61.04744	0.00521
61.11977	0.00570
61.33676	0.00529
61.47109	0.00540
61.55375	0.00504
61.80175	0.00515
61.97741	0.00480
62.07041	0.00576
62.32873	0.00506
62.50439	0.00516
62.60772	0.00449
62.88671	0.00538
63.10371	0.00489
63.19670	0.00610
63.50669	0.00664
63.70302	0.00639
63.78569	0.00627
64.09568	0.00602
64.29200	0.00598
64.38500	0.00656
64.69499	0.00688
64.88098	0.00727
64.98431	0.00666
65.27364	0.00628
65.46997	0.00523
65.57330	0.00485
65.88329	0.00453
66.10028	0.00402
66.20361	0.00438
66.48260	0.00426
66.69959	0.00513
66.81326	0.00591
67.17491	0.00676
67.41257	0.00713
67.53657	0.00679
67.88789	0.00599
68.11522	0.00562
68.23921	0.00519
68.56987	0.00550
68.76620	0.00599
68.87986	0.00685
69.25185	0.00714
69.44818	0.00672
69.55151	0.00742
69.84083	0.00743
70.01649	0.00746
70.10949	0.00638
70.36781	0.00500
70.54348	0.00462
70.63647	0.00438
70.91546	0.00471
71.07046	0.00527
71.17379	0.00655
71.41145	0.00677
71.57678	0.00668
71.68011	0.00817
