Black Body Radiation Experiment Wed, Jan 21, 2026 9:44 AM
Sensor Position (Degrees)	Light Intensity (Volts)
-0.01033	-0.00060
-0.01033	-0.00038
-0.01033	-0.00018
-0.01033	0.00000
-0.01033	0.00015
-0.01033	0.00026
-0.01033	0.00032
-0.01033	0.00029
-0.01033	0.00016
-0.01033	-0.00003
-0.01033	-0.00025
-0.01033	-0.00046
-0.01033	-0.00062
-0.01033	-0.00068
-0.01033	-0.00064
0.01033	-0.00051
0.01033	-0.00035
0.01033	-0.00019
0.02067	-0.00010
0.02067	-0.00012
0.04133	-0.00026
0.04133	-0.00053
0.03100	-0.00089
0.03100	-0.00130
0.03100	-0.00170
0.02067	-0.00203
0.03100	-0.00226
0.04133	-0.00236
0.05167	-0.00236
0.07233	-0.00229
0.11366	-0.00221
0.14466	-0.00219
0.26866	-0.00229
0.35132	-0.00255
0.40299	-0.00299
0.63031	-0.00357
0.84731	-0.00424
0.92997	-0.00493
1.22963	-0.00556
1.28129	-0.00606
1.32263	-0.00641
1.47762	-0.00658
1.61195	-0.00661
1.67395	-0.00654
1.81861	-0.00645
1.91161	-0.00639
1.96327	-0.00642
2.10793	-0.00654
2.20093	-0.00675
2.25260	-0.00703
2.35593	-0.00731
2.43859	-0.00755
2.47992	-0.00770
2.67625	-0.00775
2.80025	-0.00767
2.85191	-0.00749
3.21357	-0.00727
3.46156	-0.00704
3.60622	-0.00687
4.05054	-0.00680
4.33987	-0.00686
4.50519	-0.00708
4.86685	-0.00743
5.16651	-0.00787
5.30084	-0.00836
5.81749	-0.00883
6.15848	-0.00925
6.31347	-0.00957
6.88179	-0.00980
7.25377	-0.00991
7.45010	-0.00995
8.11141	-0.00993
8.57640	-0.00991
8.85539	-0.00990
9.53737	-0.00993
9.94036	-0.01000
10.15735	-0.01010
10.62234	-0.01021
10.96333	-0.01034
11.11832	-0.01047
11.64530	-0.01060
11.98629	-0.01073
12.11029	-0.01088
12.54428	-0.01104
12.83360	-0.01123
13.10226	-0.01145
13.50525	-0.01167
13.75324	-0.01189
13.86690	-0.01209
14.17689	-0.01229
14.35255	-0.01248
14.44555	-0.01266
14.73488	-0.01283
14.94154	-0.01300
15.12753	-0.01315
15.40652	-0.01328
15.53052	-0.01338
15.61318	-0.01342
15.86117	-0.01341
16.04717	-0.01334
16.23316	-0.01325
16.52249	-0.01315
16.71881	-0.01304
16.87381	-0.01290
17.26646	-0.01265
17.49379	-0.01213
17.60745	-0.01112
17.92778	-0.00932
18.14477	-0.00641
18.26877	-0.00210
18.65109	0.00380
18.90941	0.01135
19.06441	0.02036
19.48806	0.03043
19.80838	0.04093
20.10804	0.05110
20.58336	0.06011
20.84169	0.06718
21.03801	0.07172
21.54433	0.07339
21.79232	0.07217
22.04032	0.06832
22.43297	0.06233
22.67063	0.05485
22.78429	0.04659
23.19761	0.03818
23.50760	0.03017
23.67293	0.02292
24.14825	0.01662
24.40658	0.01132
24.50991	0.00698
24.79923	0.00347
24.91289	0.00066
24.96456	-0.00157
25.03689	-0.00334
25.05755	-0.00474
