Black Body Radiation Experiment Wed, Jan 21, 2026 10:17 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.02067	-0.00342
0.04133	-0.00215
0.10333	-0.00099
0.15500	0.00004
0.40299	0.00089
0.84731	0.00151
1.13663	0.00186
1.61195	0.00157
1.72561	0.00119
1.76695	-0.00050
1.80828	-0.00004
1.80828	-0.00079
1.80828	-0.00099
1.79794	-0.00138
1.78761	-0.00169
1.78761	-0.00138
1.78761	-0.00112
1.78761	-0.00136
1.78761	-0.00137
1.78761	-0.00217
1.78761	-0.00215
1.78761	-0.00226
1.78761	-0.00151
1.78761	-0.00149
1.79794	-0.00174
1.79794	-0.00180
1.80828	-0.00182
1.81861	-0.00148
1.82894	-0.00051
1.93227	-0.00042
2.07694	-0.00006
2.16993	0.00004
2.33526	0.00097
2.42826	0.00192
2.46959	0.00222
2.63492	0.00186
2.77958	0.00160
2.86224	0.00100
3.07924	-0.00003
3.20323	0.00000
3.27556	-0.00039
3.46156	-0.00044
3.56489	-0.00050
3.61655	-0.00022
3.77155	-0.00030
3.90588	-0.00002
3.98854	0.00003
4.28820	-0.00006
4.45353	0.00018
4.52586	-0.00155
4.78418	-0.00154
4.97018	-0.00231
5.04251	-0.00238
5.28017	-0.00145
5.42483	-0.00067
5.47650	-0.00009
5.65216	0.00041
5.76582	0.00159
5.81749	0.00120
6.00348	0.00142
6.08614	0.00109
6.13781	-0.00027
6.30314	-0.00002
6.45813	-0.00076
6.53046	-0.00058
6.76812	-0.00001
6.95412	0.00074
7.03678	0.00057
7.32611	0.00125
7.48110	0.00109
7.55343	0.00046
7.73943	-0.00025
7.85309	-0.00081
7.92542	-0.00155
8.11141	-0.00184
8.21474	-0.00146
8.26641	-0.00144
8.43174	-0.00078
8.55573	-0.00002
8.61773	-0.00022
8.81406	-0.00039
8.93806	-0.00099
9.01039	-0.00080
9.21705	-0.00144
9.36171	-0.00098
9.56837	-0.00084
9.70270	-0.00122
9.97136	-0.00085
10.17802	-0.00091
10.31235	-0.00052
10.52934	-0.00027
10.70500	-0.00027
10.77733	-0.00070
11.04599	-0.00135
11.21132	-0.00085
11.30432	-0.00069
11.55231	-0.00032
11.73830	-0.00045
11.81063	-0.00113
12.08962	-0.00118
12.23429	-0.00044
12.32728	-0.00072
12.60628	-0.00100
12.78194	-0.00079
12.85427	-0.00125
13.12293	-0.00158
13.29859	-0.00135
13.36058	-0.00089
13.69124	-0.00162
13.87724	-0.00136
13.94957	-0.00183
14.22856	-0.00188
14.41455	-0.00143
14.50755	-0.00185
14.76587	-0.00183
14.96220	-0.00131
15.04487	-0.00128
15.35486	-0.00084
15.54085	-0.00038
15.63385	0.00025
15.89217	0.00027
16.06783	0.00115
16.17116	0.00105
16.48115	0.00174
16.69815	0.00263
16.80148	0.00415
17.10114	0.00446
17.31813	0.00627
17.42146	0.00864
17.75212	0.01164
17.98977	0.01770
18.21710	0.02792
18.68209	0.04237
18.91975	0.06170
19.14707	0.08405
19.60172	0.10838
19.82905	0.13221
20.06671	0.15258
20.53170	0.16752
20.77969	0.17640
20.99668	0.17650
21.44100	0.17059
21.68899	0.16005
21.77166	0.14692
22.05065	0.13202
22.22631	0.11818
22.29864	0.10397
22.51563	0.09160
22.63963	0.08043
22.69130	0.06947
22.87729	0.06015
23.00129	0.05193
23.04262	0.04451
23.17695	0.03936
23.28028	0.03399
23.33194	0.02970
23.53860	0.02662
23.72460	0.02331
23.80726	0.01982
24.07592	0.01760
24.29291	0.01480
24.37558	0.01220
24.68557	0.00988
24.84056	0.00900
24.94389	0.00824
25.25388	0.00717
25.49154	0.00615
25.57421	0.00529
25.92553	0.00463
26.18385	0.00304
26.28718	0.00208
26.65917	0.00252
26.89683	0.00120
27.01049	0.00143
27.38248	0.00154
27.66147	0.00150
27.78547	0.00157
28.15746	0.00107
28.41578	0.00165
28.51911	0.00129
28.88077	0.00018
29.11843	-0.00064
29.23209	-0.00134
29.56275	-0.00181
29.77974	-0.00194
29.86241	-0.00162
30.16206	-0.00074
