Black Body Radiation Experiment Wed, Jan 21, 2026 10:05 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01033	-0.00143
0.01033	-0.00091
0.01033	-0.00049
0.01033	-0.00016
0.01033	0.00011
0.01033	0.00031
0.01033	0.00048
0.01033	0.00086
-0.01033	0.00053
-0.01033	0.00070
-0.01033	0.00141
-0.01033	0.00079
-0.01033	0.00044
-0.01033	0.00091
-0.01033	0.00064
-0.01033	0.00023
-0.02067	-0.00017
-0.02067	0.00043
-0.02067	0.00037
-0.02067	-0.00011
-0.03100	-0.00035
-0.03100	0.00014
-0.04133	0.00015
-0.04133	-0.00069
-0.03100	-0.00094
-0.03100	-0.00042
-0.03100	0.00043
-0.02067	0.00073
-0.02067	0.00052
-0.03100	0.00109
-0.02067	0.00055
-0.01033	0.00078
-0.01033	0.00093
0.01033	0.00088
0.02067	0.00058
0.02067	-0.00007
0.03100	-0.00008
0.03100	-0.00027
0.04133	0.00009
0.04133	-0.00039
0.04133	-0.00114
0.04133	-0.00137
0.04133	-0.00124
0.05167	-0.00108
0.06200	-0.00170
0.08266	-0.00209
0.09300	-0.00161
0.13433	-0.00131
0.18599	-0.00139
0.22733	-0.00167
0.56832	-0.00109
0.71298	-0.00125
0.74398	-0.00163
0.73364	-0.00177
0.74398	-0.00193
0.73364	-0.00262
0.74398	-0.00259
0.74398	-0.00319
0.75431	-0.00292
0.75431	-0.00282
0.75431	-0.00272
0.75431	-0.00237
0.75431	-0.00192
0.75431	-0.00198
0.75431	-0.00216
0.75431	-0.00265
0.76464	-0.00398
0.76464	-0.00501
0.76464	-0.00523
0.76464	-0.00580
0.76464	-0.00589
0.77498	-0.00513
0.77498	-0.00461
0.77498	-0.00412
0.78531	-0.00352
0.78531	-0.00274
0.79564	-0.00303
0.80597	-0.00255
0.83697	-0.00342
0.85764	-0.00365
0.87831	-0.00354
0.99197	-0.00319
1.12630	-0.00312
1.25029	-0.00298
1.51895	-0.00360
1.69461	-0.00399
1.75661	-0.00412
1.95294	-0.00399
2.06660	-0.00470
2.10793	-0.00413
2.21126	-0.00486
2.36626	-0.00524
2.44892	-0.00491
2.80025	-0.00521
3.05857	-0.00557
3.16190	-0.00565
3.45123	-0.00515
3.59589	-0.00487
3.66822	-0.00405
3.85421	-0.00352
3.95754	-0.00320
4.01954	-0.00294
4.15387	-0.00310
4.23654	-0.00370
4.28820	-0.00359
4.48453	-0.00437
4.63952	-0.00476
4.70152	-0.00510
4.86685	-0.00495
4.99084	-0.00501
5.06318	-0.00449
5.31117	-0.00478
5.48683	-0.00462
5.56949	-0.00468
5.80715	-0.00461
5.98281	-0.00522
6.05515	-0.00455
6.31347	-0.00456
6.53046	-0.00468
6.63379	-0.00433
6.97478	-0.00378
7.19178	-0.00299
7.32611	-0.00276
7.73943	-0.00266
8.01842	-0.00233
8.15275	-0.00245
8.49374	-0.00282
8.73140	-0.00353
8.86572	-0.00352
9.21705	-0.00418
9.45471	-0.00482
9.55804	-0.00467
9.93002	-0.00491
10.16768	-0.00474
10.28135	-0.00502
10.56034	-0.00473
10.75667	-0.00452
10.83933	-0.00485
11.09766	-0.00519
11.29398	-0.00562
11.36631	-0.00506
11.59364	-0.00495
11.74864	-0.00524
11.81063	-0.00561
12.03796	-0.00568
12.20329	-0.00574
12.27562	-0.00529
12.52361	-0.00473
12.70961	-0.00451
12.79227	-0.00492
13.10226	-0.00517
13.33992	-0.00463
13.45358	-0.00422
13.83590	-0.00404
14.11489	-0.00416
14.25956	-0.00374
14.75554	-0.00343
15.04487	-0.00348
15.17920	-0.00274
15.59252	-0.00244
15.86117	-0.00163
15.99550	-0.00112
16.38816	-0.00023
16.62582	0.00016
16.72915	0.00115
17.03914	0.00234
17.21480	0.00414
17.31813	0.00729
17.77278	0.00877
18.01044	0.01280
18.12410	0.01899
18.50643	0.02566
18.70275	0.03590
18.79575	0.04839
19.13674	0.06276
19.30207	0.08045
19.45706	0.10143
19.80838	0.12310
19.98405	0.14545
20.12871	0.16613
20.40770	0.18264
20.58336	0.19600
20.76935	0.20103
21.14134	0.20050
21.35834	0.19569
21.54433	0.18421
21.84399	0.16993
22.06098	0.15426
22.15398	0.13739
22.41230	0.12181
22.59830	0.10654
22.66030	0.09286
22.90829	0.08094
23.06328	0.06986
23.13561	0.05873
23.42494	0.05086
23.62127	0.04309
23.71426	0.03580
23.97259	0.03072
24.15858	0.02572
24.24125	0.02113
24.49957	0.01821
24.67523	0.01448
24.75790	0.01156
25.02656	0.00943
25.21255	0.00813
25.29521	0.00722
25.56387	0.00590
25.74987	0.00515
25.84286	0.00438
26.16319	0.00363
26.40085	0.00331
26.52484	0.00163
26.82450	0.00091
27.03116	-0.00060
27.12416	-0.00135
27.42381	-0.00115
27.60981	-0.00091
27.71314	-0.00165
28.01280	-0.00193
28.20912	-0.00201
28.29179	-0.00223
28.56045	-0.00272
28.76711	-0.00297
28.86010	-0.00429
29.17009	-0.00480
29.36642	-0.00523
29.45942	-0.00542
29.72808	-0.00531
29.89340	-0.00484
29.96574	-0.00394
30.18273	-0.00254
