Black Body Radiation Experiment Wed, Jan 21, 2026 10:08 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01033	0.00321
0.02067	0.00170
0.02067	0.00065
0.02067	-0.00002
0.02067	-0.00039
0.03100	-0.00057
0.03100	-0.00063
0.03100	-0.00138
0.03100	-0.00159
0.10333	-0.00097
0.18599	-0.00130
0.27899	-0.00206
0.33066	-0.00193
0.61998	-0.00238
0.98164	-0.00253
1.03330	-0.00177
1.02297	-0.00114
1.03330	-0.00066
1.04363	-0.00072
1.03330	-0.00097
1.04363	-0.00149
1.04363	-0.00181
1.04363	-0.00246
1.05397	-0.00253
1.05397	-0.00262
1.05397	-0.00269
1.06430	-0.00246
1.09530	-0.00131
1.13663	0.00010
1.15730	0.00025
1.27096	0.00061
1.39496	0.00090
1.49829	0.00045
1.92194	0.00034
2.32493	0.00032
2.56259	-0.00011
3.16190	-0.00187
3.64755	-0.00275
3.87488	-0.00246
4.76352	-0.00191
5.35250	-0.00251
5.69349	-0.00274
6.38580	-0.00254
6.81979	-0.00229
7.03678	-0.00226
7.71876	-0.00254
8.15275	-0.00248
8.40074	-0.00230
9.19638	-0.00252
9.56837	-0.00243
10.05402	-0.00161
10.34335	-0.00177
10.51901	-0.00221
10.83933	-0.00175
11.08732	-0.00188
11.19065	-0.00225
11.52131	-0.00243
11.76930	-0.00253
11.87263	-0.00211
12.23429	-0.00148
12.48228	-0.00094
12.59594	-0.00050
12.96793	0.00036
13.19526	0.00074
13.29859	0.00109
13.68091	0.00091
13.97023	0.00077
14.11489	0.00060
14.57988	0.00071
14.88987	0.00044
15.03453	0.00066
15.49952	0.00143
15.79918	0.00318
15.93350	0.00470
16.33649	0.00598
16.61548	0.00877
16.74981	0.01364
17.18380	0.01740
17.41113	0.02674
17.61779	0.04194
18.13444	0.06057
18.38243	0.08905
18.56842	0.12845
18.99208	0.17658
19.19874	0.23095
19.43640	0.28689
19.93238	0.34170
20.18037	0.38765
20.39737	0.41685
20.79002	0.43002
20.97602	0.42977
21.18268	0.41143
21.64766	0.38227
21.91632	0.34724
22.01965	0.30819
22.35031	0.27084
22.58796	0.23618
22.67063	0.20408
22.95995	0.17775
23.16661	0.15182
23.25961	0.12835
23.54894	0.11040
23.73493	0.09394
23.81759	0.07852
24.07592	0.06876
24.23091	0.05802
24.30324	0.04928
24.53057	0.04316
24.70623	0.03662
24.77856	0.03095
25.06789	0.02669
25.28488	0.02283
25.37788	0.01987
25.64654	0.01686
25.82220	0.01469
26.05986	0.01173
26.25618	0.01022
26.33885	0.00865
26.69017	0.00735
26.94850	0.00575
27.31015	0.00432
27.59948	0.00453
27.73381	0.00355
28.20912	0.00329
28.57078	0.00302
29.11843	0.00260
29.51108	0.00190
29.68674	0.00081
30.27573	-0.00082
